participant_id,date,time,sensor,value,unit,device_model,source,type
U3884527492,2026-03-01,07:50:52,lamp.steps,0.9783380309024544,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,07:50:52,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,07:50:52,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,07:50:49,lamp.steps,1558,count,,daily pedometer,step_count
U3884527492,2026-03-01,07:50:49,lamp.steps,952.6200000017416,meter,,daily pedometer,distance
U3884527492,2026-03-01,07:50:49,lamp.steps,0.9783380309024544,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,07:50:49,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,07:50:49,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,07:43:13,lamp.steps,1558,count,,daily pedometer,step_count
U3884527492,2026-03-01,07:43:13,lamp.steps,952.6200000017416,meter,,daily pedometer,distance
U3884527492,2026-03-01,07:43:13,lamp.steps,0.9783380309024544,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,07:43:13,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,07:43:13,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,07:43:11,lamp.steps,1558,count,,daily pedometer,step_count
U3884527492,2026-03-01,07:43:11,lamp.steps,952.6200000017416,meter,,daily pedometer,distance
U3884527492,2026-03-01,07:43:11,lamp.steps,0.9783380309024544,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,07:43:11,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,07:43:11,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,07:43:09,lamp.steps,1558,count,,daily pedometer,step_count
U3884527492,2026-03-01,07:43:09,lamp.steps,952.6200000017416,meter,,daily pedometer,distance
U3884527492,2026-03-01,07:43:09,lamp.steps,0.9783380309024544,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,07:43:09,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,07:43:09,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:56:01,lamp.steps,1550,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:56:01,lamp.steps,946.7000000018161,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:56:01,lamp.steps,0.9755268300393244,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:56:01,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:56:01,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:55:59,lamp.steps,1550,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:55:59,lamp.steps,946.7000000018161,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:55:59,lamp.steps,0.9755268300393244,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:55:59,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:55:59,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:55:56,lamp.steps,1550,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:55:56,lamp.steps,946.7000000018161,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:55:56,lamp.steps,0.9755268300393244,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:55:56,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:55:56,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:44:34,lamp.steps,1539,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:44:34,lamp.steps,941.7500000018626,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:44:34,lamp.steps,0.9732545792388502,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:44:34,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:44:34,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:44:33,lamp.steps,1539,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:44:33,lamp.steps,941.7500000018626,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:44:33,lamp.steps,0.9732545792388502,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:44:33,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:44:33,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:44:31,lamp.steps,1539,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:44:31,lamp.steps,941.7500000018626,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:44:31,lamp.steps,0.9732545792388502,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:44:31,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:44:31,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:24:15,lamp.steps,911,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:24:15,lamp.steps,583.7700000007171,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:24:15,lamp.steps,1.0133753447406912,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:24:15,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:24:15,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:24:13,lamp.steps,905,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:24:13,lamp.steps,579.0300000007264,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:24:13,lamp.steps,1.0169216189131156,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:24:13,lamp.steps,1,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:24:13,lamp.steps,5,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:16:42,lamp.steps,756,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:16:42,lamp.steps,484.73000000067987,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:16:42,lamp.steps,1.0238625110872113,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:16:42,lamp.steps,0,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:16:42,lamp.steps,4,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:16:41,lamp.steps,756,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:16:41,lamp.steps,484.73000000067987,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:16:41,lamp.steps,1.0238625110872113,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:16:41,lamp.steps,0,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:16:41,lamp.steps,4,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:16:38,lamp.steps,756,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:16:38,lamp.steps,484.73000000067987,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:16:38,lamp.steps,1.0238625110872113,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:16:38,lamp.steps,0,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:16:38,lamp.steps,4,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:11:39,lamp.steps,461,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:11:39,lamp.steps,297.1899999999441,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:11:39,lamp.steps,1.138108196776687,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:11:39,lamp.steps,0,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:11:39,lamp.steps,2,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:11:37,lamp.steps,461,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:11:37,lamp.steps,297.1899999999441,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:11:37,lamp.steps,1.138108196776687,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:11:37,lamp.steps,0,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:11:37,lamp.steps,2,count,,daily pedometer,floors_descended
U3884527492,2026-03-01,06:11:34,lamp.steps,461,count,,daily pedometer,step_count
U3884527492,2026-03-01,06:11:34,lamp.steps,297.1899999999441,meter,,daily pedometer,distance
U3884527492,2026-03-01,06:11:34,lamp.steps,1.138108196776687,seconds per meter,,daily pedometer,average_active_pace
U3884527492,2026-03-01,06:11:34,lamp.steps,0,count,,daily pedometer,floors_ascended
U3884527492,2026-03-01,06:11:34,lamp.steps,2,count,,daily pedometer,floors_descended
U3884527492,2026-02-28,18:55:13,lamp.steps,7256,count,,daily pedometer,step_count
