participant_id,date,time,sensor,z,x,y
U3884527492,2026-02-26,15:00:12,lamp.accelerometer,-0.9968719482421875,-0.0017852783203125,-0.019683837890625
U3884527492,2026-02-26,13:48:01,lamp.accelerometer,-0.074432373046875,0.140655517578125,1.0088653564453125
U3884527492,2026-02-26,09:51:53,lamp.accelerometer,-0.991729736328125,0.00244140625,-0.022979736328125
U3884527492,2026-02-25,16:04:09,lamp.accelerometer,-0.876556396484375,-0.0618743896484375,-0.527252197265625
U3884527492,2026-02-25,15:33:59,lamp.accelerometer,-0.7235565185546875,0.00848388671875,-0.676788330078125
U5713113886,2026-02-26,15:34:28,lamp.accelerometer,-0.9065399169921875,0.2159576416015625,-0.361968994140625
U5713113886,2026-01-22,14:59:30,lamp.accelerometer,-0.65606689453125,-0.0626373291015625,-0.735809326171875
U5713113886,2026-01-20,11:18:51,lamp.accelerometer,-0.9942169189453125,-0.0181884765625,-0.01171875
U5713113886,2026-01-19,10:26:34,lamp.accelerometer,-1.0014801025390625,0.081298828125,-0.04931640625
U5713113886,2026-01-13,19:48:17,lamp.accelerometer,-0.2719268798828125,0.30096435546875,-0.9019927978515625
U5713113886,2026-01-13,18:57:02,lamp.accelerometer,-0.760955810546875,-0.01263427734375,-0.634521484375
U5713113886,2026-01-13,18:56:34,lamp.accelerometer,-0.68597412109375,-0.0239105224609375,-0.7213897705078125
U5713113886,2026-01-08,15:14:16,lamp.accelerometer,-0.987884521484375,0.0262451171875,-0.1070098876953125
U5713113886,2025-12-06,01:06:59,lamp.accelerometer,1.0006103515625,0.0274505615234375,-0.062469482421875
U5713113886,2025-11-24,10:09:12,lamp.accelerometer,-0.853363037109375,0.1808013916015625,-0.4540252685546875
U5713113886,2025-11-20,11:27:38,lamp.accelerometer,-0.989593505859375,-0.0749053955078125,-0.0848236083984375
U5713113886,2025-11-19,19:09:07,lamp.accelerometer,-0.993560791015625,-0.058197021484375,-0.0213623046875
U5713113886,2025-11-19,18:08:39,lamp.accelerometer,-0.9922637939453125,0.0826416015625,-0.0280914306640625
U5713113886,2025-11-17,18:38:33,lamp.accelerometer,-0.7424163818359375,0.034942626953125,-0.663818359375
U5713113886,2025-11-16,14:02:07,lamp.accelerometer,-0.2682342529296875,-0.0373687744140625,-0.9515380859375
U0602491223,2026-02-26,09:46:42,lamp.accelerometer,-1.00701904296875,0.0207061767578125,-0.0050048828125
U0602491223,2026-01-25,10:00:03,lamp.accelerometer,-0.9880218505859375,-0.0527496337890625,-0.334259033203125
U0602491223,2026-01-24,14:19:01,lamp.accelerometer,-0.76300048828125,-0.108154296875,-0.6560211181640625
U0602491223,2026-01-24,13:55:50,lamp.accelerometer,-0.789520263671875,0.0378265380859375,-0.56146240234375
U0602491223,2026-01-24,12:20:16,lamp.accelerometer,-1.0112762451171875,-0.0102996826171875,-0.7844390869140625
U0602491223,2026-01-22,19:03:31,lamp.accelerometer,-0.965179443359375,-0.258056640625,-0.102630615234375
U0602491223,2026-01-22,17:34:50,lamp.accelerometer,-0.9054412841796875,0.020751953125,-0.4553680419921875
U0602491223,2026-01-22,14:54:45,lamp.accelerometer,-0.8627777099609375,0.19171142578125,-0.492034912109375
U6014563899,2026-01-20,11:56:08,lamp.accelerometer,-0.6405792236328125,-0.11639404296875,-0.757110595703125
U0265496741,2026-01-29,14:24:06,lamp.accelerometer,-0.758758544921875,0.10443115234375,-0.617919921875
U0265496741,2026-01-29,14:22:12,lamp.accelerometer,-0.8407745361328125,0.2033233642578125,-0.48406982421875
U7773079877,2026-02-28,14:15:23,lamp.accelerometer,-6.282385349273682,-6.358999729156494,3.5625722408294678
U7773079877,2026-02-28,13:15:23,lamp.accelerometer,-6.205770969390869,-6.358999729156494,3.648763418197632
